date,sensor,data
12-10-2018 02:20:15,F20,457
12-10-2018 02:30:01,F10,473
12-10-2018 02:30:08,P10,286
12-10-2018 02:30:08,P11,250
12-10-2018 02:30:08,P12,263
12-10-2018 02:30:15,F20,458
12-10-2018 02:40:02,F10,474
12-10-2018 02:40:09,P10,285
12-10-2018 02:40:09,P11,250
12-10-2018 02:40:09,P12,263
12-10-2018 02:40:16,F20,459
12-10-2018 02:50:01,F10,478
12-10-2018 02:50:08,P10,285
12-10-2018 02:50:08,P11,250
12-10-2018 02:50:08,P12,263
12-10-2018 02:50:15,F20,460
12-10-2018 03:00:01,F10,479
12-10-2018 03:00:08,P10,286
12-10-2018 03:00:08,P11,251
12-10-2018 03:00:08,P12,263
12-10-2018 03:00:15,F20,462
12-10-2018 03:10:01,F10,477
12-10-2018 03:10:08,P10,286
12-10-2018 03:10:08,P11,250
12-10-2018 03:10:08,P12,263
12-10-2018 03:10:15,F20,463
12-10-2018 03:20:01,F10,478
12-10-2018 03:20:08,P10,286
12-10-2018 03:20:08,P11,250
12-10-2018 03:20:08,P12,263
12-10-2018 03:20:15,F20,465
12-10-2018 03:30:01,F10,479
12-10-2018 03:30:09,P10,285
12-10-2018 03:30:09,P11,250
12-10-2018 03:30:09,P12,262
12-10-2018 03:30:16,F20,465
12-10-2018 03:40:01,F10,480
12-10-2018 03:40:08,P10,285
12-10-2018 03:40:08,P11,250
12-10-2018 03:40:08,P12,263
12-10-2018 03:40:15,F20,465
12-10-2018 03:50:01,F10,485
12-10-2018 03:50:08,P10,287
12-10-2018 03:50:08,P11,252
12-10-2018 03:50:08,P12,264
12-10-2018 03:50:15,F20,465
12-10-2018 04:00:01,F10,484
12-10-2018 04:00:09,P10,287
12-10-2018 04:00:09,P11,252
12-10-2018 04:00:09,P12,264
12-10-2018 04:00:16,F20,465
12-10-2018 04:10:01,F10,486
12-10-2018 04:10:08,P10,287
12-10-2018 04:10:08,P11,252
12-10-2018 04:10:08,P12,264
12-10-2018 04:10:15,F20,467
12-10-2018 04:20:01,F10,484
12-10-2018 04:20:08,P10,287
12-10-2018 04:20:08,P11,251
12-10-2018 04:20:08,P12,264
12-10-2018 04:20:15,F20,466
12-10-2018 04:30:01,F10,487
12-10-2018 04:30:08,P10,287
12-10-2018 04:30:08,P11,252
12-10-2018 04:30:08,P12,264
12-10-2018 04:30:15,F20,468
12-10-2018 04:40:01,F10,485
12-10-2018 04:40:08,P10,287
12-10-2018 04:40:08,P11,252
12-10-2018 04:40:08,P12,264
12-10-2018 04:40:15,F20,470
12-10-2018 04:50:01,F10,487
12-10-2018 04:50:09,P10,288
12-10-2018 04:50:09,P11,252
12-10-2018 04:50:09,P12,265
12-10-2018 04:50:16,F20,468
12-10-2018 05:00:01,F10,486
12-10-2018 05:00:08,P10,286
12-10-2018 05:00:08,P11,251
12-10-2018 05:00:08,P12,263
12-10-2018 05:00:15,F20,470
12-10-2018 05:10:01,F10,485
12-10-2018 05:10:08,P10,286
12-10-2018 05:10:08,P11,251
12-10-2018 05:10:08,P12,264
12-10-2018 05:10:15,F20,470
12-10-2018 05:20:02,F10,484
12-10-2018 05:20:09,P10,286
12-10-2018 05:20:09,P11,251
12-10-2018 05:20:09,P12,263
12-10-2018 05:20:16,F20,473
12-10-2018 05:30:01,F10,479
12-10-2018 05:30:08,P10,285
12-10-2018 05:30:08,P11,250
12-10-2018 05:30:08,P12,262
12-10-2018 05:30:15,F20,473
12-10-2018 05:40:01,F10,481
12-10-2018 05:40:08,P10,285
12-10-2018 05:40:08,P11,251
12-10-2018 05:40:08,P12,262
12-10-2018 05:40:15,F20,470
12-10-2018 05:50:02,F10,476
12-10-2018 05:50:09,P10,284
12-10-2018 05:50:09,P11,250
12-10-2018 05:50:09,P12,262
12-10-2018 05:50:16,F20,473
12-10-2018 06:00:01,F10,479
12-10-2018 06:00:08,P10,285
12-10-2018 06:00:08,P11,250
12-10-2018 06:00:08,P12,263
12-10-2018 06:00:15,F20,475
12-10-2018 06:10:01,F10,477
12-10-2018 06:10:09,P10,284
12-10-2018 06:10:09,P11,249
12-10-2018 06:10:09,P12,261
12-10-2018 06:10:16,F20,473
12-10-2018 06:20:01,F10,480
12-10-2018 06:20:08,P10,285
12-10-2018 06:20:08,P11,250
12-10-2018 06:20:08,P12,262
12-10-2018 06:20:15,F20,475
12-10-2018 06:30:02,F10,482
12-10-2018 06:30:09,P10,284
12-10-2018 06:30:09,P11,248
12-10-2018 06:30:09,P12,260
12-10-2018 06:30:16,F20,477
12-10-2018 06:40:01,F10,478
12-10-2018 06:40:08,P10,283
12-10-2018 06:40:08,P11,248
12-10-2018 06:40:08,P12,260
12-10-2018 06:40:15,F20,474
12-10-2018 06:50:01,F10,481
12-10-2018 06:50:08,P10,282
12-10-2018 06:50:08,P11,247
12-10-2018 06:50:08,P12,259
12-10-2018 06:50:16,F20,471
12-10-2018 07:00:01,F10,481
12-10-2018 07:00:08,P10,283
12-10-2018 07:00:08,P11,248
12-10-2018 07:00:08,P12,259
12-10-2018 07:00:15,F20,470
12-10-2018 07:10:01,F10,485
12-10-2018 07:10:08,P10,282
12-10-2018 07:10:08,P11,247
12-10-2018 07:10:08,P12,259
12-10-2018 07:10:15,F20,471
12-10-2018 07:20:01,F10,478
12-10-2018 07:20:09,P10,282
12-10-2018 07:20:09,P11,247
12-10-2018 07:20:09,P12,259
12-10-2018 07:20:16,F20,472
12-10-2018 07:30:01,F10,485
12-10-2018 07:30:08,P10,283
12-10-2018 07:30:08,P11,248
12-10-2018 07:30:08,P12,260
12-10-2018 07:30:15,F20,473
12-10-2018 07:40:01,F10,482
12-10-2018 07:40:08,P10,282
12-10-2018 07:40:08,P11,246
12-10-2018 07:40:08,P12,259
12-10-2018 07:40:15,F20,475
12-10-2018 07:50:02,F10,486
12-10-2018 07:50:09,P10,282
12-10-2018 07:50:09,P11,247
12-10-2018 07:50:09,P12,259
12-10-2018 07:50:16,F20,468
12-10-2018 08:00:01,F10,484
12-10-2018 08:00:08,P10,282
12-10-2018 08:00:08,P11,247
12-10-2018 08:00:08,P12,259
12-10-2018 08:00:15,F20,472
12-10-2018 08:10:01,F10,485
12-10-2018 08:10:08,P10,283
12-10-2018 08:10:08,P11,248
12-10-2018 08:10:08,P12,259
12-10-2018 08:10:16,F20,472
12-10-2018 08:20:01,F10,486
12-10-2018 08:20:08,P10,281
12-10-2018 08:20:08,P11,246
12-10-2018 08:20:08,P12,258
12-10-2018 08:20:15,F20,473
12-10-2018 08:30:01,F10,482
12-10-2018 08:30:08,P10,281
12-10-2018 08:30:08,P11,245
12-10-2018 08:30:08,P12,257
12-10-2018 08:30:15,F20,475
12-10-2018 08:40:01,F10,491
12-10-2018 08:40:09,P10,282
12-10-2018 08:40:09,P11,246
12-10-2018 08:40:09,P12,258
12-10-2018 08:40:16,F20,474
12-10-2018 08:50:01,F10,488
12-10-2018 08:50:08,P10,281
12-10-2018 08:50:08,P11,246
12-10-2018 08:50:08,P12,257
12-10-2018 08:50:15,F20,473
12-10-2018 09:00:01,F10,491
12-10-2018 09:00:08,P10,281
12-10-2018 09:00:08,P11,246
12-10-2018 09:00:08,P12,258
12-10-2018 09:00:15,F20,476
12-10-2018 09:10:02,F10,496
12-10-2018 09:10:09,P10,281
12-10-2018 09:10:09,P11,247
12-10-2018 09:10:09,P12,259
12-10-2018 09:10:16,F20,476
12-10-2018 09:20:01,F10,490
12-10-2018 09:20:08,P10,281
12-10-2018 09:20:08,P11,246
12-10-2018 09:20:08,P12,258
12-10-2018 09:20:15,F20,481
12-10-2018 09:30:01,F10,494
12-10-2018 09:30:09,P10,281
12-10-2018 09:30:09,P11,246
12-10-2018 09:30:09,P12,258
12-10-2018 09:30:16,F20,480
12-10-2018 09:40:01,F10,496
12-10-2018 09:40:08,P10,281
12-10-2018 09:40:08,P11,246
12-10-2018 09:40:08,P12,258
12-10-2018 09:40:15,F20,482
12-10-2018 09:50:01,F10,492
12-10-2018 09:50:08,P10,282
12-10-2018 09:50:08,P11,247
12-10-2018 09:50:08,P12,259
12-10-2018 09:50:15,F20,485
12-10-2018 10:00:01,F10,496
12-10-2018 10:00:09,P10,282
12-10-2018 10:00:09,P11,247
12-10-2018 10:00:09,P12,259
12-10-2018 10:00:16,F20,481
12-10-2018 10:10:01,F10,497
12-10-2018 10:10:08,P10,281
12-10-2018 10:10:08,P11,246
12-10-2018 10:10:08,P12,258
12-10-2018 10:10:15,F20,485
12-10-2018 10:20:01,F10,498
12-10-2018 10:20:08,P10,282
12-10-2018 10:20:08,P11,247
12-10-2018 10:20:08,P12,258
12-10-2018 10:20:15,F20,486
12-10-2018 10:30:02,F10,494
12-10-2018 10:30:09,P10,282
12-10-2018 10:30:09,P11,247
12-10-2018 10:30:09,P12,258
12-10-2018 10:30:16,F20,487
12-10-2018 10:40:01,F10,501
12-10-2018 10:40:08,P10,282
12-10-2018 10:40:08,P11,247
12-10-2018 10:40:08,P12,259
12-10-2018 10:40:15,F20,487
12-10-2018 10:50:01,F10,495
12-10-2018 10:50:09,P10,281
12-10-2018 10:50:09,P11,246
12-10-2018 10:50:09,P12,258
12-10-2018 10:50:16,F20,487
12-10-2018 11:00:01,F10,502
12-10-2018 11:00:08,P10,282
12-10-2018 11:00:08,P11,247
12-10-2018 11:00:08,P12,259
12-10-2018 11:00:15,F20,489
12-10-2018 11:10:01,F10,499
12-10-2018 11:10:08,P10,282
12-10-2018 11:10:08,P11,247
12-10-2018 11:10:08,P12,259
12-10-2018 11:10:15,F20,487
12-10-2018 11:20:02,F10,500
12-10-2018 11:20:09,P10,282
12-10-2018 11:20:09,P11,247
12-10-2018 11:20:09,P12,259
12-10-2018 11:20:16,F20,491
12-10-2018 11:30:01,F10,507
12-10-2018 11:30:08,P10,282
12-10-2018 11:30:08,P11,247
12-10-2018 11:30:08,P12,259
12-10-2018 11:30:15,F20,494
12-10-2018 11:40:01,F10,508
12-10-2018 11:40:08,P10,283
12-10-2018 11:40:08,P11,247
12-10-2018 11:40:08,P12,260
12-10-2018 11:40:15,F20,496
12-10-2018 11:50:02,F10,507
12-10-2018 11:50:09,P10,283
12-10-2018 11:50:09,P11,248
12-10-2018 11:50:09,P12,260
12-10-2018 11:50:16,F20,501
12-10-2018 12:00:01,F10,506
12-10-2018 12:00:08,P10,283
12-10-2018 12:00:08,P11,248
12-10-2018 12:00:08,P12,260
12-10-2018 12:00:15,F20,504
12-10-2018 12:10:01,F10,510
12-10-2018 12:10:08,P10,283
12-10-2018 12:10:08,P11,248
12-10-2018 12:10:08,P12,260
12-10-2018 12:10:16,F20,505
12-10-2018 12:20:01,F10,510
12-10-2018 12:20:08,P10,283
12-10-2018 12:20:08,P11,249
12-10-2018 12:20:08,P12,261
12-10-2018 12:20:15,F20,505
12-10-2018 12:30:01,F10,511
12-10-2018 12:30:08,P10,284
12-10-2018 12:30:08,P11,249
12-10-2018 12:30:08,P12,261
12-10-2018 12:30:15,F20,509
12-10-2018 12:40:01,F10,511
12-10-2018 12:40:09,P10,283
12-10-2018 12:40:09,P11,249
12-10-2018 12:40:09,P12,261
12-10-2018 12:40:16,F20,513
12-10-2018 12:50:01,F10,515
12-10-2018 12:50:08,P10,284
12-10-2018 12:50:08,P11,250
12-10-2018 12:50:08,P12,262
12-10-2018 12:50:15,F20,511
12-10-2018 13:00:01,F10,512
12-10-2018 13:00:08,P10,284
12-10-2018 13:00:08,P11,249
12-10-2018 13:00:08,P12,261
12-10-2018 13:00:15,F20,516
12-10-2018 13:10:02,F10,517
12-10-2018 13:10:09,P10,284
12-10-2018 13:10:09,P11,250
12-10-2018 13:10:09,P12,261
12-10-2018 13:10:16,F20,516
12-10-2018 13:20:01,F10,517
12-10-2018 13:20:08,P10,285
12-10-2018 13:20:08,P11,250
12-10-2018 13:20:08,P12,262
12-10-2018 13:20:15,F20,521
12-10-2018 13:30:01,F10,520
12-10-2018 13:30:09,P10,285
12-10-2018 13:30:09,P11,251
12-10-2018 13:30:09,P12,262
12-10-2018 13:30:16,F20,522
12-10-2018 13:40:01,F10,517
12-10-2018 13:40:08,P10,285
12-10-2018 13:40:08,P11,250
12-10-2018 13:40:08,P12,262
12-10-2018 13:40:15,F20,522
12-10-2018 13:50:01,F10,520
12-10-2018 13:50:08,P10,281
12-10-2018 13:50:08,P11,249
12-10-2018 13:50:08,P12,262
12-10-2018 13:50:15,F20,521
12-10-2018 14:00:02,F10,520
12-10-2018 14:00:09,P10,279
12-10-2018 14:00:09,P11,248
12-10-2018 14:00:09,P12,261
12-10-2018 14:00:16,F20,518
12-10-2018 14:10:01,F10,522
12-10-2018 14:10:08,P10,280
12-10-2018 14:10:08,P11,249
12-10-2018 14:10:08,P12,261
12-10-2018 14:10:15,F20,516
12-10-2018 14:20:01,F10,523
12-10-2018 14:20:09,P10,280
12-10-2018 14:20:09,P11,249
12-10-2018 14:20:09,P12,262
12-10-2018 14:20:16,F20,517
12-10-2018 14:30:01,F10,527
12-10-2018 14:30:08,P10,280
12-10-2018 14:30:08,P11,248
12-10-2018 14:30:08,P12,261
12-10-2018 14:30:15,F20,516
12-10-2018 14:40:01,F10,527
12-10-2018 14:40:08,P10,280
12-10-2018 14:40:08,P11,249
12-10-2018 14:40:08,P12,262
12-10-2018 14:40:15,F20,516
12-10-2018 14:50:01,F10,528
12-10-2018 14:50:09,P10,280
12-10-2018 14:50:09,P11,249
12-10-2018 14:50:09,P12,261
12-10-2018 14:50:16,F20,518
12-10-2018 15:00:01,F10,531
12-10-2018 15:00:08,P10,279
12-10-2018 15:00:08,P11,248
12-10-2018 15:00:08,P12,261
12-10-2018 15:00:15,F20,516
12-10-2018 15:10:01,F10,533
12-10-2018 15:10:08,P10,279
12-10-2018 15:10:08,P11,248
12-10-2018 15:10:08,P12,261
12-10-2018 15:10:15,F20,516
12-10-2018 15:20:01,F10,535
12-10-2018 15:20:08,P10,280
12-10-2018 15:20:08,P11,250
12-10-2018 15:20:08,P12,262
12-10-2018 15:20:15,F20,516
12-10-2018 15:30:01,F10,537
12-10-2018 15:30:08,P10,280
12-10-2018 15:30:08,P11,248
12-10-2018 15:30:08,P12,261
12-10-2018 15:30:15,F20,517
12-10-2018 15:40:01,F10,535
12-10-2018 15:40:09,P10,280
12-10-2018 15:40:09,P11,249
12-10-2018 15:40:09,P12,262
12-10-2018 15:40:16,F20,515
12-10-2018 15:50:01,F10,541
12-10-2018 15:50:08,P10,281
12-10-2018 15:50:08,P11,250
12-10-2018 15:50:08,P12,263
12-10-2018 15:50:15,F20,513
12-10-2018 16:00:01,F10,540
12-10-2018 16:00:08,P10,280
12-10-2018 16:00:08,P11,249
12-10-2018 16:00:08,P12,262
12-10-2018 16:00:15,F20,519
12-10-2018 16:10:01,F10,538
12-10-2018 16:10:09,P10,280
12-10-2018 16:10:09,P11,250
12-10-2018 16:10:09,P12,262
12-10-2018 16:10:16,F20,520
12-10-2018 16:20:01,F10,542
12-10-2018 16:20:08,P10,280
12-10-2018 16:20:08,P11,249
12-10-2018 16:20:08,P12,262
12-10-2018 16:20:15,F20,520
12-10-2018 16:30:01,F10,543
12-10-2018 16:30:08,P10,280
12-10-2018 16:30:08,P11,249
12-10-2018 16:30:08,P12,262
12-10-2018 16:30:15,F20,521
12-10-2018 16:40:02,F10,539
12-10-2018 16:40:09,P10,280
12-10-2018 16:40:09,P11,249
12-10-2018 16:40:09,P12,262
12-10-2018 16:40:16,F20,519
12-10-2018 16:50:01,F10,544
12-10-2018 16:50:08,P10,280
12-10-2018 16:50:08,P11,249
12-10-2018 16:50:08,P12,262
12-10-2018 16:50:15,F20,519
12-10-2018 17:00:01,F10,542
12-10-2018 17:00:08,P10,280
12-10-2018 17:00:08,P11,250
12-10-2018 17:00:08,P12,262
12-10-2018 17:00:16,F20,519
12-10-2018 17:10:01,F10,546
12-10-2018 17:10:08,P10,280
12-10-2018 17:10:08,P11,249
12-10-2018 17:10:08,P12,262
12-10-2018 17:10:15,F20,517
12-10-2018 17:20:01,F10,551
12-10-2018 17:20:08,P10,281
12-10-2018 17:20:08,P11,250
12-10-2018 17:20:08,P12,263
12-10-2018 17:20:15,F20,517
12-10-2018 17:30:01,F10,550
12-10-2018 17:30:09,P10,280
12-10-2018 17:30:09,P11,250
12-10-2018 17:30:09,P12,262
12-10-2018 17:30:16,F20,518
12-10-2018 17:40:01,F10,553
12-10-2018 17:40:08,P10,279
12-10-2018 17:40:08,P11,250
12-10-2018 17:40:08,P12,262
12-10-2018 17:40:15,F20,522
12-10-2018 17:50:01,F10,552
12-10-2018 17:50:08,P10,280
12-10-2018 17:50:08,P11,250
12-10-2018 17:50:08,P12,262
12-10-2018 17:50:15,F20,525
12-10-2018 18:00:02,F10,550
12-10-2018 18:00:09,P10,281
12-10-2018 18:00:09,P11,250
12-10-2018 18:00:09,P12,263
12-10-2018 18:00:16,F20,524
12-10-2018 18:10:01,F10,551
12-10-2018 18:10:08,P10,281
12-10-2018 18:10:08,P11,250
12-10-2018 18:10:08,P12,263
12-10-2018 18:10:15,F20,523
12-10-2018 18:20:01,F10,553
12-10-2018 18:20:08,P10,281
12-10-2018 18:20:08,P11,250
12-10-2018 18:20:08,P12,263
12-10-2018 18:20:16,F20,524
12-10-2018 18:30:01,F10,558
12-10-2018 18:30:08,P10,281
12-10-2018 18:30:08,P11,251
12-10-2018 18:30:08,P12,264
12-10-2018 18:30:15,F20,524
12-10-2018 18:40:01,F10,560
12-10-2018 18:40:08,P10,282
12-10-2018 18:40:08,P11,251
12-10-2018 18:40:08,P12,264
12-10-2018 18:40:15,F20,527
12-10-2018 18:50:01,F10,558
12-10-2018 18:50:09,P10,282
12-10-2018 18:50:09,P11,251
12-10-2018 18:50:09,P12,264
12-10-2018 18:50:16,F20,527
12-10-2018 19:00:01,F10,565
12-10-2018 19:00:08,P10,282
12-10-2018 19:00:08,P11,251
12-10-2018 19:00:08,P12,264
12-10-2018 19:00:15,F20,532
12-10-2018 19:10:01,F10,571
12-10-2018 19:10:08,P10,283
12-10-2018 19:10:08,P11,253
12-10-2018 19:10:08,P12,266
12-10-2018 19:10:15,F20,530
12-10-2018 19:20:01,F10,575
12-10-2018 19:20:08,P10,283
12-10-2018 19:20:08,P11,253
12-10-2018 19:20:08,P12,265
12-10-2018 19:20:15,F20,533
12-10-2018 19:30:01,F10,580
12-10-2018 19:30:08,P10,284
12-10-2018 19:30:08,P11,254
12-10-2018 19:30:08,P12,266
12-10-2018 19:30:15,F20,533
12-10-2018 19:40:01,F10,579
12-10-2018 19:40:09,P10,283
12-10-2018 19:40:09,P11,253
12-10-2018 19:40:09,P12,266
12-10-2018 19:40:16,F20,532
12-10-2018 19:50:01,F10,580
12-10-2018 19:50:08,P10,284
12-10-2018 19:50:08,P11,254
12-10-2018 19:50:08,P12,267
12-10-2018 19:50:15,F20,532
12-10-2018 20:00:01,F10,583
12-10-2018 20:00:08,P10,284
12-10-2018 20:00:08,P11,253
12-10-2018 20:00:08,P12,266
12-10-2018 20:00:15,F20,533
12-10-2018 20:10:01,F10,584
12-10-2018 20:10:09,P10,283
12-10-2018 20:10:09,P11,253
12-10-2018 20:10:09,P12,266
12-10-2018 20:10:16,F20,533
12-10-2018 20:20:01,F10,587
12-10-2018 20:20:08,P10,285
12-10-2018 20:20:08,P11,255
12-10-2018 20:20:08,P12,267
12-10-2018 20:20:15,F20,535
12-10-2018 20:30:01,F10,583
12-10-2018 20:30:08,P10,284
12-10-2018 20:30:08,P11,253
12-10-2018 20:30:08,P12,266
12-10-2018 20:30:15,F20,537
12-10-2018 20:40:01,F10,588
12-10-2018 20:40:08,P10,285
12-10-2018 20:40:08,P11,255
12-10-2018 20:40:08,P12,268
12-10-2018 20:40:15,F20,534
12-10-2018 20:50:01,F10,590
12-10-2018 20:50:08,P10,285
12-10-2018 20:50:08,P11,255
12-10-2018 20:50:08,P12,268
12-10-2018 20:50:15,F20,537
12-10-2018 21:00:01,F10,591
12-10-2018 21:00:08,P10,286
12-10-2018 21:00:08,P11,255
12-10-2018 21:00:08,P12,268
12-10-2018 21:00:16,F20,534
12-10-2018 21:10:01,F10,592
12-10-2018 21:10:08,P10,286
12-10-2018 21:10:08,P11,256
12-10-2018 21:10:08,P12,268
12-10-2018 21:10:15,F20,533
12-10-2018 21:20:01,F10,591
12-10-2018 21:20:08,P10,285
12-10-2018 21:20:08,P11,255
12-10-2018 21:20:08,P12,268
12-10-2018 21:20:15,F20,538
12-10-2018 21:30:02,F10,588
12-10-2018 21:30:09,P10,285
12-10-2018 21:30:09,P11,255
12-10-2018 21:30:09,P12,268
12-10-2018 21:30:16,F20,535
12-10-2018 21:40:01,F10,587
12-10-2018 21:40:08,P10,286
12-10-2018 21:40:08,P11,256
12-10-2018 21:40:08,P12,268
12-10-2018 21:40:15,F20,536
12-10-2018 21:50:01,F10,588
12-10-2018 21:50:08,P10,286
12-10-2018 21:50:08,P11,256
12-10-2018 21:50:08,P12,268
12-10-2018 21:50:15,F20,538
12-10-2018 22:00:01,F10,588
